comment_id,video_id,comment_text,entity,entity_type,sentiment_label,issue_category,topic_name
UgyXALJywDNyWciIzU14AaABAg,3i1OB6wKYms,190 millón view the galaxy s25 ultra,galaxy,CUSTOM_PRODUCT_OR_BRAND,negative,Camera,"AI, Battery, Camera and Feature Discussion"
UgyXALJywDNyWciIzU14AaABAg,3i1OB6wKYms,190 millón view the galaxy s25 ultra,galaxy s25,CUSTOM_PRODUCT_OR_BRAND,negative,Camera,"AI, Battery, Camera and Feature Discussion"
UgyXALJywDNyWciIzU14AaABAg,3i1OB6wKYms,190 millón view the galaxy s25 ultra,galaxy s25 ultra,CUSTOM_PRODUCT_OR_BRAND,negative,Camera,"AI, Battery, Camera and Feature Discussion"
UgyXALJywDNyWciIzU14AaABAg,3i1OB6wKYms,190 millón view the galaxy s25 ultra,s25 ultra,CUSTOM_PRODUCT_OR_BRAND,negative,Camera,"AI, Battery, Camera and Feature Discussion"
UgyNnbO_KoxZGzTj2ZF4AaABAg,3i1OB6wKYms,add such samsung galaxy ai eyesight technology factory industry to all planet each city village,samsung,CUSTOM_PRODUCT_OR_BRAND,neutral,AI / Gemini,Galaxy Models / S23-S24-S25 Series
UgyNnbO_KoxZGzTj2ZF4AaABAg,3i1OB6wKYms,add such samsung galaxy ai eyesight technology factory industry to all planet each city village,galaxy,CUSTOM_PRODUCT_OR_BRAND,neutral,AI / Gemini,Galaxy Models / S23-S24-S25 Series
UgzE8-h-DYUZWSqwu7J4AaABAg,3i1OB6wKYms,watching this with a galaxy s25 ultra just a few days before the launch of the s26 series,galaxy,CUSTOM_PRODUCT_OR_BRAND,neutral,Other,"AI, Battery, Camera and Feature Discussion"
UgzE8-h-DYUZWSqwu7J4AaABAg,3i1OB6wKYms,watching this with a galaxy s25 ultra just a few days before the launch of the s26 series,galaxy s25,CUSTOM_PRODUCT_OR_BRAND,neutral,Other,"AI, Battery, Camera and Feature Discussion"
UgzE8-h-DYUZWSqwu7J4AaABAg,3i1OB6wKYms,watching this with a galaxy s25 ultra just a few days before the launch of the s26 series,galaxy s25 ultra,CUSTOM_PRODUCT_OR_BRAND,neutral,Other,"AI, Battery, Camera and Feature Discussion"
UgzE8-h-DYUZWSqwu7J4AaABAg,3i1OB6wKYms,watching this with a galaxy s25 ultra just a few days before the launch of the s26 series,s25 ultra,CUSTOM_PRODUCT_OR_BRAND,neutral,Other,"AI, Battery, Camera and Feature Discussion"
UgxkiBxjliKyrEYv1Zl4AaABAg,3i1OB6wKYms,i love every galaxy s commercial video. ive watched them all,galaxy,CUSTOM_PRODUCT_OR_BRAND,positive,Camera,Fake Products / Screen / Camera Concerns
UgwzsDb28ADnskoVh454AaABAg,3i1OB6wKYms,the samsung is better than iphone.,samsung,CUSTOM_PRODUCT_OR_BRAND,positive,Positive Feedback,S-Pen / Bluetooth Removal
UgwzsDb28ADnskoVh454AaABAg,3i1OB6wKYms,the samsung is better than iphone.,iphone,CUSTOM_PRODUCT_OR_BRAND,positive,Positive Feedback,S-Pen / Bluetooth Removal
UgxwgnC8Y3bKIHzyI_N4AaABAg,3i1OB6wKYms,no doubts samsung is the batter than apple.,samsung,CUSTOM_PRODUCT_OR_BRAND,positive,Other,General Samsung / Apple Discussion
UgxwgnC8Y3bKIHzyI_N4AaABAg,3i1OB6wKYms,no doubts samsung is the batter than apple.,apple,CUSTOM_PRODUCT_OR_BRAND,positive,Other,General Samsung / Apple Discussion
Ugw918rClyAx6pLcwa94AaABAg.ASNHA_FbHntASQQBr3Jf1Y,3i1OB6wKYms,". kabira edit, exactly, it can be that, although you know i thought they could be bots or really the hype of the people is so high",kabira edit,PERSON,neutral,AI / Gemini,General Samsung / Apple Discussion
Ugyth1Jwbi1GzpFm0PB4AaABAg,3i1OB6wKYms,i just buy recently s25 ultra and is the wise choice i ever made i upgrade myself from iphone 13 to s25 ultra,s25 ultra,CUSTOM_PRODUCT_OR_BRAND,positive,Price / Value,"AI, Battery, Camera and Feature Discussion"
Ugyth1Jwbi1GzpFm0PB4AaABAg,3i1OB6wKYms,i just buy recently s25 ultra and is the wise choice i ever made i upgrade myself from iphone 13 to s25 ultra,iphone,CUSTOM_PRODUCT_OR_BRAND,positive,Price / Value,"AI, Battery, Camera and Feature Discussion"
Ugyth1Jwbi1GzpFm0PB4AaABAg.ARzKfDK_eIbAT_wxXp9SEO,3i1OB6wKYms,you re trapped in the samsung ecosystem now did you get the watch yet,samsung,CUSTOM_PRODUCT_OR_BRAND,negative,Other,General Samsung / Apple Discussion
UgxBZb5XJbOsEDwpjsx4AaABAg,3i1OB6wKYms,"samsung is dead after ui8, waste of money.",samsung,ORG,negative,Price / Value,Galaxy Models / S23-S24-S25 Series
UgxBZb5XJbOsEDwpjsx4AaABAg,3i1OB6wKYms,"samsung is dead after ui8, waste of money.",samsung,CUSTOM_PRODUCT_OR_BRAND,negative,Price / Value,Galaxy Models / S23-S24-S25 Series
UgzCMo9HJHjYeg6oz8B4AaABAg,3i1OB6wKYms,"samsung should launch a phone which is an ultra and a form factor of iphone pro. and please, please, please improve the haptics",samsung,ORG,positive,Other,Galaxy Models / S23-S24-S25 Series
UgzCMo9HJHjYeg6oz8B4AaABAg,3i1OB6wKYms,"samsung should launch a phone which is an ultra and a form factor of iphone pro. and please, please, please improve the haptics",samsung,CUSTOM_PRODUCT_OR_BRAND,positive,Other,Galaxy Models / S23-S24-S25 Series
UgzCMo9HJHjYeg6oz8B4AaABAg,3i1OB6wKYms,"samsung should launch a phone which is an ultra and a form factor of iphone pro. and please, please, please improve the haptics",iphone,CUSTOM_PRODUCT_OR_BRAND,positive,Other,Galaxy Models / S23-S24-S25 Series
UgzuR52Zlq8YX2ZHkw14AaABAg,3i1OB6wKYms,"ai ai ai ai ai ai ai the cameras are years old,at least the iphone did something to their pro models",ai ai ai ai ai,PERSON,neutral,Camera,S25 vs S24 / iPhone Pro Max Comparison
UgzuR52Zlq8YX2ZHkw14AaABAg,3i1OB6wKYms,"ai ai ai ai ai ai ai the cameras are years old,at least the iphone did something to their pro models",iphone,CUSTOM_PRODUCT_OR_BRAND,neutral,Camera,S25 vs S24 / iPhone Pro Max Comparison
UgxFM1Es3zrb1Y35HOJ4AaABAg,3i1OB6wKYms,"wow amazing showcase! this kind of innovation really inspires us to improve our skills, whether in teach or education. i'm currently working on an exciting educational conference to boost english learning, and anyone interested can follow me for updates soon",english,NORP,positive,Software / One UI,Galaxy Models / S23-S24-S25 Series
Ugxy8GLAp_WaJMOBPwF4AaABAg,3i1OB6wKYms,"s25 base model user here, s25 ultra not worth buying.",s25 ultra,CUSTOM_PRODUCT_OR_BRAND,negative,Price / Value,"AI, Battery, Camera and Feature Discussion"
Ugwt-hdlpHZS5yGvU9N4AaABAg.ARXE1n-LqAoARd1kAVliNH,3i1OB6wKYms,this is not iphone at all,iphone,CUSTOM_PRODUCT_OR_BRAND,neutral,Design / Build,S-Pen / Bluetooth Removal
UgxNi_zvYV4OsxQZ6OF4AaABAg,3i1OB6wKYms,focus on rich countries to beat apple,apple,CUSTOM_PRODUCT_OR_BRAND,positive,Price / Value,General Samsung / Apple Discussion
UgwzW7iBSUFQuIubxD14AaABAg,3i1OB6wKYms,say hi to the new galaxy note,galaxy,CUSTOM_PRODUCT_OR_BRAND,neutral,Positive Feedback,"AI, Battery, Camera and Feature Discussion"
UgxBeB0SOfkw0Lkab4N4AaABAg,3i1OB6wKYms,my father's phone is samsung galaxy s25 ultra,samsung,CUSTOM_PRODUCT_OR_BRAND,neutral,Positive Feedback,"AI, Battery, Camera and Feature Discussion"
UgxBeB0SOfkw0Lkab4N4AaABAg,3i1OB6wKYms,my father's phone is samsung galaxy s25 ultra,galaxy,CUSTOM_PRODUCT_OR_BRAND,neutral,Positive Feedback,"AI, Battery, Camera and Feature Discussion"
UgxBeB0SOfkw0Lkab4N4AaABAg,3i1OB6wKYms,my father's phone is samsung galaxy s25 ultra,galaxy s25,CUSTOM_PRODUCT_OR_BRAND,neutral,Positive Feedback,"AI, Battery, Camera and Feature Discussion"
UgxBeB0SOfkw0Lkab4N4AaABAg,3i1OB6wKYms,my father's phone is samsung galaxy s25 ultra,galaxy s25 ultra,CUSTOM_PRODUCT_OR_BRAND,neutral,Positive Feedback,"AI, Battery, Camera and Feature Discussion"
UgxBeB0SOfkw0Lkab4N4AaABAg,3i1OB6wKYms,my father's phone is samsung galaxy s25 ultra,s25 ultra,CUSTOM_PRODUCT_OR_BRAND,neutral,Positive Feedback,"AI, Battery, Camera and Feature Discussion"
UgwPsE80KwVnWOZoHzV4AaABAg,3i1OB6wKYms,watching this on the s25 ultra 256gb gray,s25 ultra,CUSTOM_PRODUCT_OR_BRAND,positive,Other,"AI, Battery, Camera and Feature Discussion"
UgwYZXgjcb4qnnQe_7x4AaABAg.ARKB00vch9EARd2DiCxH7Z,3i1OB6wKYms,cry more lie bro s25 ultra is coated,s25 ultra,CUSTOM_PRODUCT_OR_BRAND,negative,Other,"AI, Battery, Camera and Feature Discussion"
Ugx8thrb_4ZjL5YKk8l4AaABAg,3i1OB6wKYms,so better than iphone,iphone,CUSTOM_PRODUCT_OR_BRAND,positive,Design / Build,S-Pen / Bluetooth Removal
UgzU9fWqXdIupBZOi2F4AaABAg,3i1OB6wKYms,why tf did they remove spen bluetooth it's soon disappointing for samsung its was a good feature anyone close to samsung plus request them to bring the bluetooth back,samsung,CUSTOM_PRODUCT_OR_BRAND,negative,S-Pen / Features,Buying Decision / Value Discussion
UgzU9fWqXdIupBZOi2F4AaABAg,3i1OB6wKYms,why tf did they remove spen bluetooth it's soon disappointing for samsung its was a good feature anyone close to samsung plus request them to bring the bluetooth back,spen,CUSTOM_PRODUCT_OR_BRAND,negative,S-Pen / Features,Buying Decision / Value Discussion
UgyBC-32tLaqlQ1xYU54AaABAg,3i1OB6wKYms,"so basically you no longer supported bixby and all just gemini now? wow, samsung! a dissapointment for you!",samsung,ORG,positive,AI / Gemini,Galaxy Models / S23-S24-S25 Series
UgyBC-32tLaqlQ1xYU54AaABAg,3i1OB6wKYms,"so basically you no longer supported bixby and all just gemini now? wow, samsung! a dissapointment for you!",samsung,CUSTOM_PRODUCT_OR_BRAND,positive,AI / Gemini,Galaxy Models / S23-S24-S25 Series
UgyBC-32tLaqlQ1xYU54AaABAg,3i1OB6wKYms,"so basically you no longer supported bixby and all just gemini now? wow, samsung! a dissapointment for you!",gemini,CUSTOM_PRODUCT_OR_BRAND,positive,AI / Gemini,Galaxy Models / S23-S24-S25 Series
UgyBC-32tLaqlQ1xYU54AaABAg,3i1OB6wKYms,"so basically you no longer supported bixby and all just gemini now? wow, samsung! a dissapointment for you!",bixby,CUSTOM_PRODUCT_OR_BRAND,positive,AI / Gemini,Galaxy Models / S23-S24-S25 Series
Ugyq7CBpOoZpd5-reNd4AaABAg,3i1OB6wKYms,"chook this s25 ultra is the gift for myself this year, 2025",s25 ultra,CUSTOM_PRODUCT_OR_BRAND,positive,Other,"AI, Battery, Camera and Feature Discussion"
UgyP3zf3gtozZY5kY094AaABAg,3i1OB6wKYms,"after browsing for a few days, i found a book that could help a lot of people. it's a complete review of samsung smartphones, notebooks, and air conditioners. i really liked it. i'm comparing them and i think i'll make a decision. it's an e book by alexander w. on google play books. just a tip.",samsung,ORG,positive,AI / Gemini,Galaxy Models / S23-S24-S25 Series
UgyP3zf3gtozZY5kY094AaABAg,3i1OB6wKYms,"after browsing for a few days, i found a book that could help a lot of people. it's a complete review of samsung smartphones, notebooks, and air conditioners. i really liked it. i'm comparing them and i think i'll make a decision. it's an e book by alexander w. on google play books. just a tip.",alexander w.,PERSON,positive,AI / Gemini,Galaxy Models / S23-S24-S25 Series
UgyP3zf3gtozZY5kY094AaABAg,3i1OB6wKYms,"after browsing for a few days, i found a book that could help a lot of people. it's a complete review of samsung smartphones, notebooks, and air conditioners. i really liked it. i'm comparing them and i think i'll make a decision. it's an e book by alexander w. on google play books. just a tip.",google,PRODUCT,positive,AI / Gemini,Galaxy Models / S23-S24-S25 Series
UgyP3zf3gtozZY5kY094AaABAg,3i1OB6wKYms,"after browsing for a few days, i found a book that could help a lot of people. it's a complete review of samsung smartphones, notebooks, and air conditioners. i really liked it. i'm comparing them and i think i'll make a decision. it's an e book by alexander w. on google play books. just a tip.",samsung,CUSTOM_PRODUCT_OR_BRAND,positive,AI / Gemini,Galaxy Models / S23-S24-S25 Series
UgyP3zf3gtozZY5kY094AaABAg,3i1OB6wKYms,"after browsing for a few days, i found a book that could help a lot of people. it's a complete review of samsung smartphones, notebooks, and air conditioners. i really liked it. i'm comparing them and i think i'll make a decision. it's an e book by alexander w. on google play books. just a tip.",google,CUSTOM_PRODUCT_OR_BRAND,positive,AI / Gemini,Galaxy Models / S23-S24-S25 Series
UgzbnWlzqb6UZ56tdq54AaABAg.AQcqy4MfVu6AQhqUdkQ50X,3i1OB6wKYms,"they don't remove the s pen, who makes it up",s pen,CUSTOM_PRODUCT_OR_BRAND,neutral,S-Pen / Features,Buying Decision / Value Discussion
UgxNuSQ1-AcaCViyiBt4AaABAg,3i1OB6wKYms,"samsung is like iphone top 2 brands , glad no glass theme though . samsung always winner still love s24 .. hope one ui 8 brings good battery and easier ui one ui always best for ease of use . just need battery pill same as pixel one bigger ..,",samsung,ORG,positive,Battery / Charging,S25 vs S24 / iPhone Pro Max Comparison
UgxNuSQ1-AcaCViyiBt4AaABAg,3i1OB6wKYms,"samsung is like iphone top 2 brands , glad no glass theme though . samsung always winner still love s24 .. hope one ui 8 brings good battery and easier ui one ui always best for ease of use . just need battery pill same as pixel one bigger ..,",samsung,CUSTOM_PRODUCT_OR_BRAND,positive,Battery / Charging,S25 vs S24 / iPhone Pro Max Comparison
UgxNuSQ1-AcaCViyiBt4AaABAg,3i1OB6wKYms,"samsung is like iphone top 2 brands , glad no glass theme though . samsung always winner still love s24 .. hope one ui 8 brings good battery and easier ui one ui always best for ease of use . just need battery pill same as pixel one bigger ..,",one ui,CUSTOM_PRODUCT_OR_BRAND,positive,Battery / Charging,S25 vs S24 / iPhone Pro Max Comparison
UgxNuSQ1-AcaCViyiBt4AaABAg,3i1OB6wKYms,"samsung is like iphone top 2 brands , glad no glass theme though . samsung always winner still love s24 .. hope one ui 8 brings good battery and easier ui one ui always best for ease of use . just need battery pill same as pixel one bigger ..,",iphone,CUSTOM_PRODUCT_OR_BRAND,positive,Battery / Charging,S25 vs S24 / iPhone Pro Max Comparison
UgwgFRbw7k92Cla3Pq54AaABAg,3i1OB6wKYms,i will never back to the boring iphone again,iphone,CUSTOM_PRODUCT_OR_BRAND,negative,AI / Gemini,S-Pen / Bluetooth Removal
UgwPJ2oI9AFXByzrntV4AaABAg,3i1OB6wKYms,some files are not support waste of samsung,samsung,ORG,neutral,Customer Support / Warranty,Buying Decision / Value Discussion
UgwPJ2oI9AFXByzrntV4AaABAg,3i1OB6wKYms,some files are not support waste of samsung,samsung,CUSTOM_PRODUCT_OR_BRAND,neutral,Customer Support / Warranty,Buying Decision / Value Discussion
UgyfsYa3C_jDv5qsCvR4AaABAg,3i1OB6wKYms,all the footage seem to been captured on méxico city,méxico city,GPE,neutral,Other,General Samsung / Apple Discussion
UgwVrV2SNb6eaHHepDV4AaABAg,3i1OB6wKYms,"ive been a loyal samsung phone enthusiast. ive had every galaxy since the galaxy s1. i love this phone, however it will likely be my last samsung phone. red magic 11 pro just does the things samsung refuses to. in screen camera, higher pi, higher ram, rom, liquid cooling fan, updated design, bigger battery, updated charging, all for a cheaper price!",samsung,CUSTOM_PRODUCT_OR_BRAND,positive,Battery / Charging,Galaxy Models / S23-S24-S25 Series
UgwVrV2SNb6eaHHepDV4AaABAg,3i1OB6wKYms,"ive been a loyal samsung phone enthusiast. ive had every galaxy since the galaxy s1. i love this phone, however it will likely be my last samsung phone. red magic 11 pro just does the things samsung refuses to. in screen camera, higher pi, higher ram, rom, liquid cooling fan, updated design, bigger battery, updated charging, all for a cheaper price!",galaxy,CUSTOM_PRODUCT_OR_BRAND,positive,Battery / Charging,Galaxy Models / S23-S24-S25 Series
UgzLjuIjLfhWlA2V0Qx4AaABAg,3i1OB6wKYms,samsung pleas make the samsung galaxy s26 ultra with a biggest battery last long tow days make the s26 ultra the best phone in 2026 better than iphone battery capasyti bigger than 5000 man,samsung,ORG,positive,Battery / Charging,"AI, Battery, Camera and Feature Discussion"
UgzLjuIjLfhWlA2V0Qx4AaABAg,3i1OB6wKYms,samsung pleas make the samsung galaxy s26 ultra with a biggest battery last long tow days make the s26 ultra the best phone in 2026 better than iphone battery capasyti bigger than 5000 man,samsung,CUSTOM_PRODUCT_OR_BRAND,positive,Battery / Charging,"AI, Battery, Camera and Feature Discussion"
UgzLjuIjLfhWlA2V0Qx4AaABAg,3i1OB6wKYms,samsung pleas make the samsung galaxy s26 ultra with a biggest battery last long tow days make the s26 ultra the best phone in 2026 better than iphone battery capasyti bigger than 5000 man,galaxy,CUSTOM_PRODUCT_OR_BRAND,positive,Battery / Charging,"AI, Battery, Camera and Feature Discussion"
UgzLjuIjLfhWlA2V0Qx4AaABAg,3i1OB6wKYms,samsung pleas make the samsung galaxy s26 ultra with a biggest battery last long tow days make the s26 ultra the best phone in 2026 better than iphone battery capasyti bigger than 5000 man,iphone,CUSTOM_PRODUCT_OR_BRAND,positive,Battery / Charging,"AI, Battery, Camera and Feature Discussion"
UgzTqMDliatmC0O6Q094AaABAg,3i1OB6wKYms,"s24 is just better because of the bluetooth on s pen, it is more of gemini ad bro",s pen,CUSTOM_PRODUCT_OR_BRAND,positive,AI / Gemini,Buying Decision / Value Discussion
UgzTqMDliatmC0O6Q094AaABAg,3i1OB6wKYms,"s24 is just better because of the bluetooth on s pen, it is more of gemini ad bro",gemini,CUSTOM_PRODUCT_OR_BRAND,positive,AI / Gemini,Buying Decision / Value Discussion
Ugwi7iw-C1PF1Ok_Fbl4AaABAg,3i1OB6wKYms,"hey, i just want to say you guys need to start looking into what you can do to steal all apple customers phones are pretty much rubbish now as an apple user i don t know what s making it so hard to switch top psychologist spend millions your time is now apple is going through the ground. the phone qualities is horrible. the software is going down the drain. it s your time to shine. even the glass is super weak. i broke it with a glass screen protector on the phones constantly crash",apple,CUSTOM_PRODUCT_OR_BRAND,negative,Battery / Charging,General Samsung / Apple Discussion
UgxzatC2IWi_Ek4keMR4AaABAg,3i1OB6wKYms,thai agora samsung iphone pile tiny phone hi batter had,thai,NORP,neutral,AI / Gemini,S-Pen / Bluetooth Removal
UgxzatC2IWi_Ek4keMR4AaABAg,3i1OB6wKYms,thai agora samsung iphone pile tiny phone hi batter had,agora samsung,ORG,neutral,AI / Gemini,S-Pen / Bluetooth Removal
UgxzatC2IWi_Ek4keMR4AaABAg,3i1OB6wKYms,thai agora samsung iphone pile tiny phone hi batter had,samsung,CUSTOM_PRODUCT_OR_BRAND,neutral,AI / Gemini,S-Pen / Bluetooth Removal
UgxzatC2IWi_Ek4keMR4AaABAg,3i1OB6wKYms,thai agora samsung iphone pile tiny phone hi batter had,iphone,CUSTOM_PRODUCT_OR_BRAND,neutral,AI / Gemini,S-Pen / Bluetooth Removal
UgznaQUvMkOnKQkqq5p4AaABAg,3i1OB6wKYms,the worst thing is that gemini is not available in my region,gemini,CUSTOM_PRODUCT_OR_BRAND,negative,AI / Gemini,Galaxy Models / S23-S24-S25 Series
UgznaQUvMkOnKQkqq5p4AaABAg.AOrFyMo9nEDAPHXvF-TphU,3i1OB6wKYms,"fortunately, gemini is available to me. also, why doesn't your phone appear to have gemini functionality? were you previously located in an area where gemini was not offered?",gemini,CUSTOM_PRODUCT_OR_BRAND,neutral,AI / Gemini,Galaxy Models / S23-S24-S25 Series
UgxddV-X1n8dKtDGn2F4AaABAg,3i1OB6wKYms,please give us an ultra mini phone! in 2027 january. pretty pleaseeeeee!,pleaseeeeee,GPE,positive,Price / Value,Upgrade Cycle / Yearly Phone Changes
UgzrII6btXP1DgzypWt4AaABAg,3i1OB6wKYms,i am using s25 ultra and its really awesome phone. love it,s25 ultra,CUSTOM_PRODUCT_OR_BRAND,positive,Positive Feedback,"AI, Battery, Camera and Feature Discussion"
Ugwd-M2G2qSGLPV_aAZ4AaABAg,3i1OB6wKYms,vive t4 pro 25k mobile can easily beat the zoom capability of this phone!,t4,PERSON,positive,Camera,S-Pen / Bluetooth Removal
UgxDWZtcvUmWy8plE3V4AaABAg,3i1OB6wKYms,i have been using samsung just for s pen. 1st they removed s health from note9 onwards and now tweaking bluetooth of s pen... they have literally killed the note series... i think it's time to say goodbye to .,note9,PERSON,negative,S-Pen / Features,Buying Decision / Value Discussion
UgxDWZtcvUmWy8plE3V4AaABAg,3i1OB6wKYms,i have been using samsung just for s pen. 1st they removed s health from note9 onwards and now tweaking bluetooth of s pen... they have literally killed the note series... i think it's time to say goodbye to .,samsung,CUSTOM_PRODUCT_OR_BRAND,negative,S-Pen / Features,Buying Decision / Value Discussion
UgxDWZtcvUmWy8plE3V4AaABAg,3i1OB6wKYms,i have been using samsung just for s pen. 1st they removed s health from note9 onwards and now tweaking bluetooth of s pen... they have literally killed the note series... i think it's time to say goodbye to .,s pen,CUSTOM_PRODUCT_OR_BRAND,negative,S-Pen / Features,Buying Decision / Value Discussion
Ugz5X_2W5w60pyio3RB4AaABAg,3i1OB6wKYms,"so less features than s24 ultra and still no expandable memory storage, samsung pulling the apple scam now",samsung,CUSTOM_PRODUCT_OR_BRAND,negative,Other,S25 vs S24 / iPhone Pro Max Comparison
Ugz5X_2W5w60pyio3RB4AaABAg,3i1OB6wKYms,"so less features than s24 ultra and still no expandable memory storage, samsung pulling the apple scam now",s24 ultra,CUSTOM_PRODUCT_OR_BRAND,negative,Other,S25 vs S24 / iPhone Pro Max Comparison
Ugz5X_2W5w60pyio3RB4AaABAg,3i1OB6wKYms,"so less features than s24 ultra and still no expandable memory storage, samsung pulling the apple scam now",apple,CUSTOM_PRODUCT_OR_BRAND,negative,Other,S25 vs S24 / iPhone Pro Max Comparison
UgzZ9cMI6ouPzJr7fNt4AaABAg,3i1OB6wKYms,android after five year iphone after five year,android,ORG,neutral,Software / One UI,S-Pen / Bluetooth Removal
UgzZ9cMI6ouPzJr7fNt4AaABAg,3i1OB6wKYms,android after five year iphone after five year,iphone,CUSTOM_PRODUCT_OR_BRAND,neutral,Software / One UI,S-Pen / Bluetooth Removal
UgztkPsKNYD_mLmjN494AaABAg,3i1OB6wKYms,i have a s25 ultra... totally worth itttt!!!!,s25 ultra,CUSTOM_PRODUCT_OR_BRAND,positive,Price / Value,"AI, Battery, Camera and Feature Discussion"
UgzvD2hCs-oh5zznFZh4AaABAg.AO-FC2yFwppAPHY77OP6co,3i1OB6wKYms,"however, the only issue with the phone is the bluetooth s pen, which will make it less convenient to use.",s pen,CUSTOM_PRODUCT_OR_BRAND,neutral,S-Pen / Features,Buying Decision / Value Discussion
UgxE2CTky3WT-yClAo14AaABAg,3i1OB6wKYms,"been using the s25 ultra for 8months now, its absolutely the best phone i've ever used.",s25 ultra,CUSTOM_PRODUCT_OR_BRAND,positive,Positive Feedback,Fake Products / Screen / Camera Concerns
UgwKTKPsvt-zU1vBvIJ4AaABAg,3i1OB6wKYms,i think samsung is better than apple now,samsung,CUSTOM_PRODUCT_OR_BRAND,positive,Design / Build,S-Pen / Bluetooth Removal
UgwKTKPsvt-zU1vBvIJ4AaABAg,3i1OB6wKYms,i think samsung is better than apple now,apple,CUSTOM_PRODUCT_OR_BRAND,positive,Design / Build,S-Pen / Bluetooth Removal
UgyAg5xOvnpko-6DfF54AaABAg,3i1OB6wKYms,samsung is now becoming lazy like iphone doesn't give screen replacement one who got green line due to software update,samsung,ORG,neutral,Display / Screen,S25 vs S24 / iPhone Pro Max Comparison
UgyAg5xOvnpko-6DfF54AaABAg,3i1OB6wKYms,samsung is now becoming lazy like iphone doesn't give screen replacement one who got green line due to software update,samsung,CUSTOM_PRODUCT_OR_BRAND,neutral,Display / Screen,S25 vs S24 / iPhone Pro Max Comparison
