router,query,expected_agent,selected_agent,correct,latency_ms,confidence,routing_method,router_model,normalized_query,reason
rule_based,What are the top discussion topics?,topic_agent,topic_agent,1,0.01,1.0,deterministic_fallback,,What are the top discussion topics?,Matched an aggregate topic-model analysis request.
rule_based,Show the main themes.,topic_agent,topic_agent,1,0.01,1.0,deterministic_fallback,,Show the main themes.,Matched an aggregate topic-model analysis request.
rule_based,What are the topic model results?,topic_agent,topic_agent,1,0.01,1.0,deterministic_fallback,,What are the topic model results?,Matched an aggregate topic-model analysis request.
rule_based,What are the top topics in negative sentiment?,topic_agent,topic_agent,1,0.01,1.0,deterministic_fallback,,What are the top topics in negative sentiment?,Matched an aggregate topic-model analysis request.
rule_based,What trends appear in discussions?,topic_agent,feedback_rag_agent,0,0.01,0.5,deterministic_fallback,,What trends appear in discussions?,"No aggregate-analysis intent matched, so grounded feedback RAG was selected."
rule_based,What are the top keywords?,keyword_agent,keyword_agent,1,0.01,1.0,deterministic_fallback,,What are the top keywords?,Matched a keyword or key-phrase analysis request.
rule_based,Show the main keyword.,keyword_agent,keyword_agent,1,0.01,1.0,deterministic_fallback,,Show the main keyword.,Matched a keyword or key-phrase analysis request.
rule_based,What are the key phrases?,keyword_agent,keyword_agent,1,0.01,1.0,deterministic_fallback,,What are the key phrases?,Matched a keyword or key-phrase analysis request.
rule_based,Show the key terms.,keyword_agent,keyword_agent,1,0.01,1.0,deterministic_fallback,,Show the key terms.,Matched a keyword or key-phrase analysis request.
rule_based,What are the most frequent words?,keyword_agent,feedback_rag_agent,0,0.01,0.5,deterministic_fallback,,What are the most frequent words?,"No aggregate-analysis intent matched, so grounded feedback RAG was selected."
rule_based,Why are users unhappy about the S-Pen?,feedback_rag_agent,feedback_rag_agent,1,0.01,0.5,deterministic_fallback,,Why are users unhappy about the S-Pen?,"No aggregate-analysis intent matched, so grounded feedback RAG was selected."
rule_based,What are users saying about Samsung battery life?,feedback_rag_agent,feedback_rag_agent,1,0.01,0.5,deterministic_fallback,,What are users saying about Samsung battery life?,"No aggregate-analysis intent matched, so grounded feedback RAG was selected."
rule_based,Compare Samsung with Apple according to the comments.,feedback_rag_agent,feedback_rag_agent,1,0.01,0.5,deterministic_fallback,,Compare Samsung with Apple according to the comments.,"No aggregate-analysis intent matched, so grounded feedback RAG was selected."
rule_based,What complaints mention camera quality?,feedback_rag_agent,feedback_rag_agent,1,0.01,0.5,deterministic_fallback,,What complaints mention camera quality?,"No aggregate-analysis intent matched, so grounded feedback RAG was selected."
rule_based,Show evidence about display durability.,feedback_rag_agent,feedback_rag_agent,1,0.01,0.5,deterministic_fallback,,Show evidence about display durability.,"No aggregate-analysis intent matched, so grounded feedback RAG was selected."
rule_based,How should Samsung design the S27 Ultra?,strategy_rag_agent,strategy_rag_agent,1,0.0,1.0,deterministic_fallback,,How should Samsung design the S27 Ultra?,Matched a product strategy or roadmap request.
rule_based,What roadmap should Samsung follow for the next Ultra?,strategy_rag_agent,strategy_rag_agent,1,0.0,1.0,deterministic_fallback,,What roadmap should Samsung follow for the next Ultra?,Matched a product strategy or roadmap request.
rule_based,How can Samsung maximize profit?,strategy_rag_agent,strategy_rag_agent,1,0.0,1.0,deterministic_fallback,,How can Samsung maximize profit?,Matched a product strategy or roadmap request.
rule_based,How can the next flagship reduce complaints?,strategy_rag_agent,strategy_rag_agent,1,0.0,1.0,deterministic_fallback,,How can the next flagship reduce complaints?,Matched a product strategy or roadmap request.
rule_based,What should Samsung do about battery complaints?,strategy_rag_agent,strategy_rag_agent,1,0.01,1.0,deterministic_fallback,,What should Samsung do about battery complaints?,Matched a product strategy or roadmap request.
langchain_llm,Give me an overall summary of Samsung feedback.,summarization_agent,summarization_agent,1,16432.28,0.99,langchain_llm,gpt-5.4-mini,Give me an overall summary of Samsung feedback.,"The user explicitly requests an overall summary, which matches the summarization agent."
langchain_llm,Summarize negative feedback.,summarization_agent,summarization_agent,1,16655.99,0.99,langchain_llm,gpt-5.4-mini,Summarize negative feedback.,"The user explicitly requests a summary of feedback, which matches the summarization agent."
langchain_llm,Give me an overview of camera feedback.,summarization_agent,summarization_agent,1,16604.82,0.98,langchain_llm,gpt-5.4-mini,Give me an overview of camera feedback.,"The user explicitly asks for an overview, which is a summarization task."
langchain_llm,Summarize what users say about battery.,summarization_agent,summarization_agent,1,16517.56,0.98,langchain_llm,gpt-5.4-mini,Summarize what users say about battery.,"The user explicitly asks for a summary of user feedback about battery, which matches summarization_agent."
langchain_llm,Provide an overall feedback overview.,summarization_agent,summarization_agent,1,16995.58,0.98,langchain_llm,gpt-5.4-mini,Provide an overall overview of the feedback.,"The user is explicitly asking for an overall feedback overview, which is a summary request."
langchain_llm,What is the sentiment distribution?,sentiment_agent,sentiment_agent,1,846.93,0.99,langchain_llm,gpt-5.4-mini,What is the sentiment distribution?,"The user is asking for aggregate sentiment proportions/distribution, which is handled by the sentiment agent."
langchain_llm,How many negative comments are there?,sentiment_agent,sentiment_agent,1,1250.24,0.99,langchain_llm,gpt-5.4-mini,How many negative comments are there?,"The user is asking for an aggregate count of negative comments, which is a sentiment distribution question."
langchain_llm,What percentage of comments are positive?,sentiment_agent,sentiment_agent,1,2673.54,0.99,langchain_llm,gpt-5.4-mini,What percentage of comments are positive?,"The user is asking for an aggregate sentiment proportion, which is handled by the sentiment agent."
langchain_llm,"Compare positive, negative, and neutral sentiment.",sentiment_agent,sentiment_agent,1,1039.75,0.99,langchain_llm,gpt-5.4-mini,"Compare positive, negative, and neutral sentiment.","The user is asking for aggregate sentiment comparison across positive, negative, and neutral categories."
langchain_llm,Show the emotion distribution.,sentiment_agent,sentiment_agent,1,998.09,0.98,langchain_llm,gpt-5.4-mini,Show the emotion distribution.,"The request asks for a distribution of emotions, which is an aggregate sentiment analysis task."
langchain_llm,What are the main complaint categories?,issue_agent,issue_agent,1,1270.85,0.99,langchain_llm,gpt-5.4-mini,What are the main complaint categories?,"The user is asking for aggregate complaint categories, which is exactly the issue_agent's scope."
langchain_llm,Show the top issues.,issue_agent,issue_agent,1,810.33,0.98,langchain_llm,gpt-5.4-mini,Show the top issues in the feedback.,"The user is asking for aggregate issue categories / main problems, which is exactly what issue_agent handles."
langchain_llm,What are the common problems?,issue_agent,issue_agent,1,837.85,0.98,langchain_llm,gpt-5.4-mini,What are the common problems mentioned in the feedback?,"The user is asking for aggregate problem categories/common complaints, which is exactly what the issue agent handles."
langchain_llm,Give me the issue category distribution.,issue_agent,issue_agent,1,912.31,0.99,langchain_llm,gpt-5.4-mini,Give me the distribution of issue categories.,"The user is asking for aggregate issue category distribution, which is exactly the issue_agent's task."
langchain_llm,What are the most frequent concerns?,issue_agent,issue_agent,1,1235.8,0.98,langchain_llm,gpt-5.4-mini,What are the most frequent concerns raised in the feedback?,"The user is asking for aggregate concern/problem frequency analysis, which matches issue categories rather than sentiment, topics, or evidence retrieval."
langchain_llm,What are the top discussion topics?,topic_agent,topic_agent,1,1077.24,0.99,langchain_llm,gpt-5.4-mini,What are the top discussion topics?,"The user is asking for broad discussion themes and top topics, which is an aggregate topic-modeling request."
langchain_llm,Show the main themes.,topic_agent,topic_agent,1,926.61,0.98,langchain_llm,gpt-5.4-mini,Show the main themes in the feedback.,"The user is asking for broad thematic patterns, which is a topic-modeling/aggregate themes request."
langchain_llm,What are the topic model results?,topic_agent,topic_agent,1,1388.82,0.99,langchain_llm,gpt-5.4-mini,What are the topic model results?,"The user is explicitly asking for topic model results, which is the domain of the topic_agent."
langchain_llm,What are the top topics in negative sentiment?,topic_agent,topic_agent,1,968.92,0.95,langchain_llm,gpt-5.4-mini,What are the top topics among negative sentiment feedback?,"The user is asking for topic analysis conditioned on negative sentiment, which is an aggregate theme/trend request rather than a sentiment distribution or evidence-based complaint lookup."
langchain_llm,What trends appear in discussions?,topic_agent,topic_agent,1,1043.58,0.96,langchain_llm,gpt-5.4-mini,What broad discussion trends appear in the feedback?,"The user is asking for aggregate discussion trends, which is a topic-modeling request rather than sentiment, issues, or evidence about specific comments."
langchain_llm,What are the top keywords?,keyword_agent,keyword_agent,1,762.99,0.99,langchain_llm,gpt-5.4-mini,What are the top keywords?,"The user is explicitly asking for keywords, which is handled by the keyword_agent."
langchain_llm,Show the main keyword.,keyword_agent,keyword_agent,1,843.57,0.99,langchain_llm,gpt-5.4-mini,Show the main keyword.,"The user is asking for a keyword-level result, which is handled by the keyword agent."
langchain_llm,What are the key phrases?,keyword_agent,keyword_agent,1,720.14,0.99,langchain_llm,gpt-5.4-mini,What are the key phrases?,"The user is explicitly asking for key phrases, which is a keyword extraction task."
langchain_llm,Show the key terms.,keyword_agent,keyword_agent,1,824.35,0.99,langchain_llm,gpt-5.4-mini,Show the key terms.,"The user is asking for key terms/keywords, which maps directly to the keyword analysis specialist."
langchain_llm,What are the most frequent words?,keyword_agent,keyword_agent,1,835.7,0.99,langchain_llm,gpt-5.4-mini,What are the most frequent words in the feedback?,"The user is asking for frequent words, which is a keyword/common-terms analysis task."
langchain_llm,Why are users unhappy about the S-Pen?,feedback_rag_agent,feedback_rag_agent,1,784.56,0.98,langchain_llm,gpt-5.4-mini,Why are users unhappy about the S-Pen?,"This asks for reasons behind user dissatisfaction about a specific product feature, which requires grounded evidence from feedback rather than aggregate sentiment or issue counts."
langchain_llm,What are users saying about Samsung battery life?,feedback_rag_agent,feedback_rag_agent,1,1134.19,0.96,langchain_llm,gpt-5.4-mini,What are users saying about Samsung battery life?,"This asks for what users are saying and implies evidence from comments about a specific product aspect, which requires grounded retrieval rather than aggregate analytics."
langchain_llm,Compare Samsung with Apple according to the comments.,feedback_rag_agent,feedback_rag_agent,1,1394.09,0.95,langchain_llm,gpt-5.4-mini,Compare Samsung with Apple based on what commenters say in the feedback.,"This asks for a comparison grounded in user comments, which requires retrieving supporting evidence rather than aggregate analytics."
langchain_llm,What complaints mention camera quality?,feedback_rag_agent,feedback_rag_agent,1,1007.28,0.98,langchain_llm,gpt-5.4-mini,What complaints mention camera quality?,"This asks for complaints that mention a specific feature and requires retrieved evidence, not aggregate complaint counts."
langchain_llm,Show evidence about display durability.,feedback_rag_agent,feedback_rag_agent,1,976.1,0.98,langchain_llm,gpt-5.4-mini,Show evidence about display durability.,"The request asks for evidence supporting a specific product attribute (display durability), which requires retrieved examples and grounded feedback rather than aggregate analytics."
langchain_llm,How should Samsung design the S27 Ultra?,strategy_rag_agent,strategy_rag_agent,1,804.73,0.98,langchain_llm,gpt-5.4-mini,How should Samsung design the S27 Ultra?,"This asks for product design recommendations and future strategy, which belongs to the strategy agent."
langchain_llm,What roadmap should Samsung follow for the next Ultra?,strategy_rag_agent,strategy_rag_agent,1,1273.29,0.98,langchain_llm,gpt-5.4-mini,What roadmap should Samsung follow for the next Ultra?,"The user is asking for strategic recommendations and future product roadmap guidance, which belongs to the strategy agent."
langchain_llm,How can Samsung maximize profit?,strategy_rag_agent,strategy_rag_agent,1,1191.38,0.98,langchain_llm,gpt-5.4-mini,How can Samsung maximize profit?,"The user is asking for strategic recommendations to improve profit, which matches the strategy agent."
langchain_llm,How can the next flagship reduce complaints?,strategy_rag_agent,strategy_rag_agent,1,757.23,0.98,langchain_llm,gpt-5.4-mini,How can the next flagship reduce complaints?,"This asks for recommendations and product strategy to reduce complaints, which is handled by the strategy agent."
langchain_llm,What should Samsung do about battery complaints?,strategy_rag_agent,strategy_rag_agent,1,1356.54,0.98,langchain_llm,gpt-5.4-mini,What should Samsung do about battery complaints?,"This asks for recommended actions Samsung should take in response to complaints, which is a strategy and action-planning request."
