comment_id,clean_comment,sentiment_label,issue_category,topic_name,cluster_id,persona,svd_x,svd_y
Ugyth1Jwbi1GzpFm0PB4AaABAg.ARzKfDK_eIbAT_wxXp9SEO,you re trapped in the samsung ecosystem now did you get the watch yet,negative,Other,Buying Decision / Value Discussion,3,Samsung-Apple Brand Debaters - Buying Decision / Value Discussion,0.28235598474793894,-0.19111027274488504
UgxBZb5XJbOsEDwpjsx4AaABAg,"samsung is dead after ui8, waste of money.",negative,Price / Value,S25 vs S24 / iPhone Pro Max Comparison,3,Samsung-Apple Brand Debaters - Buying Decision / Value Discussion,0.4384201563721283,-0.28774938831427027
UgzCMo9HJHjYeg6oz8B4AaABAg,"samsung should launch a phone which is an ultra and a form factor of iphone pro. and please, please, please improve the haptics",positive,Other,S-Pen / Bluetooth Removal,5,iPhone Comparison Shoppers,0.5833953304226368,-0.07346428526279838
Ugw8CG7ZF4yxMzOTjpB4AaABAg,"if you are not upgrading cameras like not over sharpening , shadows and video quality for s26 then it is time to say goodbye",negative,Camera,Upgrade Cycle / Yearly Phone Changes,2,General Mobile Discussion Audience,0.25226976498388065,-0.050216497455656525
UgzuR52Zlq8YX2ZHkw14AaABAg,"ai ai ai ai ai ai ai the cameras are years old,at least the iphone did something to their pro models",neutral,Camera,"AI, Battery, Camera and Feature Discussion",4,Galaxy AI Subscription Sceptics,0.2119097064615123,-0.10863436608950226
UgxFM1Es3zrb1Y35HOJ4AaABAg,"wow amazing showcase! this kind of innovation really inspires us to improve our skills, whether in teach or education. i'm currently working on an exciting educational conference to boost english learning, and anyone interested can follow me for updates soon",positive,Software / One UI,General Samsung / Apple Discussion,2,General Mobile Discussion Audience,0.2682309598689002,-0.09582937642887739
Ugxy8GLAp_WaJMOBPwF4AaABAg,"s25 base model user here, s25 ultra not worth buying.",negative,Price / Value,Fake Products / Screen / Camera Concerns,1,Galaxy Upgrade-Cycle Followers,0.42631916701093703,0.5030460614978964
Ugwt-hdlpHZS5yGvU9N4AaABAg.ARXE1n-LqAoARd1kAVliNH,this is not iphone at all,neutral,Design / Build,S-Pen / Bluetooth Removal,5,iPhone Comparison Shoppers,0.14338980911118548,-0.13034764356773848
UgxNi_zvYV4OsxQZ6OF4AaABAg,focus on rich countries to beat apple,positive,Price / Value,Buying Decision / Value Discussion,7,Samsung-Apple Brand Debaters - Buying Decision / Value Discussion,0.17700134751593077,-0.25315541699241373
UgwzW7iBSUFQuIubxD14AaABAg,say hi to the new galaxy note,neutral,Positive Feedback,Fake Products / Screen / Camera Concerns,2,General Mobile Discussion Audience,0.20248238219313633,0.02103169663944946
UgxBeB0SOfkw0Lkab4N4AaABAg,my father's phone is samsung galaxy s25 ultra,neutral,Positive Feedback,Fake Products / Screen / Camera Concerns,1,Galaxy Upgrade-Cycle Followers,0.44619450849794995,0.22728840969740824
UgwPsE80KwVnWOZoHzV4AaABAg,watching this on the s25 ultra 256gb gray,positive,Other,Fake Products / Screen / Camera Concerns,1,Galaxy Upgrade-Cycle Followers,0.31671765672977004,0.4847118403928768
UgwYZXgjcb4qnnQe_7x4AaABAg.ARKB00vch9EARd2DiCxH7Z,cry more lie bro s25 ultra is coated,negative,Other,Fake Products / Screen / Camera Concerns,1,Galaxy Upgrade-Cycle Followers,0.309971020008212,0.393006714574288
Ugxh_XDXkYYjCOWyF-h4AaABAg,cannot wait to s26 series,neutral,AI / Gemini,Upgrade Cycle / Yearly Phone Changes,2,General Mobile Discussion Audience,0.09609343965840295,0.042381334385575425
Ugx8thrb_4ZjL5YKk8l4AaABAg,so better than iphone,positive,Design / Build,S-Pen / Bluetooth Removal,5,iPhone Comparison Shoppers,0.16479589357594754,-0.13783831200143365
UgzU9fWqXdIupBZOi2F4AaABAg,why tf did they remove spen bluetooth it's soon disappointing for samsung its was a good feature anyone close to samsung plus request them to bring the bluetooth back,negative,S-Pen / Features,Galaxy Models / S23-S24-S25 Series,0,S-Pen Bluetooth Feature Loyalists,0.3079538504633146,-0.12250416314574526
UgwNLY5wTtGOEZnc3nx4AaABAg,1 49 what's happen there?,positive,Other,General Samsung / Apple Discussion,2,General Mobile Discussion Audience,0.15329910534937216,-0.06569995867390241
UgyBC-32tLaqlQ1xYU54AaABAg,"so basically you no longer supported bixby and all just gemini now? wow, samsung! a dissapointment for you!",positive,AI / Gemini,"AI, Battery, Camera and Feature Discussion",3,Samsung-Apple Brand Debaters - Buying Decision / Value Discussion,0.3631608997993698,-0.20111739099474826
Ugyq7CBpOoZpd5-reNd4AaABAg,"chook this s25 ultra is the gift for myself this year, 2025",positive,Other,Fake Products / Screen / Camera Concerns,1,Galaxy Upgrade-Cycle Followers,0.3959321759521764,0.4561541626744256
UgyP3zf3gtozZY5kY094AaABAg,"after browsing for a few days, i found a book that could help a lot of people. it's a complete review of samsung smartphones, notebooks, and air conditioners. i really liked it. i'm comparing them and i think i'll make a decision. it's an e book by alexander w. on google play books. just a tip.",positive,AI / Gemini,Buying Decision / Value Discussion,2,General Mobile Discussion Audience,0.4239364274803885,-0.17320997718180217
UgwDumxN-uIDguBgdbJ4AaABAg,this entire trailer should be in the into of a movie,neutral,AI / Gemini,"AI, Battery, Camera and Feature Discussion",2,General Mobile Discussion Audience,0.2235039632625018,-0.11979793555700911
UgzbnWlzqb6UZ56tdq54AaABAg.AQcqy4MfVu6AQhqUdkQ50X,"they don't remove the s pen, who makes it up",neutral,S-Pen / Features,Galaxy Models / S23-S24-S25 Series,0,S-Pen Bluetooth Feature Loyalists,0.21442857297933968,-0.047882279199159127
UgxTWMCyV33uoNN1m4F4AaABAg,0 10 your missing the extend unlock settings to turn it off. my phone doesnt lock when i set screen lock to 1 minute. fix it quickly.,negative,Display / Screen,General Samsung / Apple Discussion,6,Phone Buying and Value Seekers,0.33040313628880774,-0.1879850962266001
UgxNuSQ1-AcaCViyiBt4AaABAg,"samsung is like iphone top 2 brands , glad no glass theme though . samsung always winner still love s24 .. hope one ui 8 brings good battery and easier ui one ui always best for ease of use . just need battery pill same as pixel one bigger ..,",positive,Battery / Charging,General Samsung / Apple Discussion,2,General Mobile Discussion Audience,0.4493028163574527,-0.14045645648513796
UgwgFRbw7k92Cla3Pq54AaABAg,i will never back to the boring iphone again,negative,AI / Gemini,Buying Decision / Value Discussion,5,iPhone Comparison Shoppers,0.16279038644920282,-0.14040044092317866
UgwPJ2oI9AFXByzrntV4AaABAg,some files are not support waste of samsung,neutral,Customer Support / Warranty,S-Pen / Bluetooth Removal,3,Samsung-Apple Brand Debaters - Buying Decision / Value Discussion,0.4112700186906781,-0.27769397706262505
UgwH3z2VZdLRSrkkEJh4AaABAg.AQBroLyU0yFAQhquKJO9jm,wait for the s26 ultra,neutral,AI / Gemini,Upgrade Cycle / Yearly Phone Changes,1,Galaxy Upgrade-Cycle Followers,0.18730661517590344,0.2246291957850852
UgyfsYa3C_jDv5qsCvR4AaABAg,all the footage seem to been captured on méxico city,neutral,Other,General Samsung / Apple Discussion,3,Samsung-Apple Brand Debaters - Buying Decision / Value Discussion,0.15286525693281353,-0.14263450965017826
UgyN0zdeZ5BXL9YwamV4AaABAg,it makes no sense to go anywhere higher than the s23,negative,Price / Value,Buying Decision / Value Discussion,2,General Mobile Discussion Audience,0.19157844723703985,0.12026658409854148
UgwFWZhFHeFreklLNGx4AaABAg,who tf thought it's a good idea to remove bluetooth from the stylus????,positive,S-Pen / Features,Galaxy Models / S23-S24-S25 Series,0,S-Pen Bluetooth Feature Loyalists,0.1950140861309764,-0.04075662322961431
Ugzv7XSYurKbwwGdTtF4AaABAg,"war with the other's mi, gentle",negative,Other,General Samsung / Apple Discussion,2,General Mobile Discussion Audience,0.13929105704175418,-0.04442611864400858
UgxkVMS60uPhAzRbmkZ4AaABAg,am going toto buy one in she allah,neutral,Other,S25 vs S24 / iPhone Pro Max Comparison,2,General Mobile Discussion Audience,0.1750012788348566,-0.051067342329368534
UgwVrV2SNb6eaHHepDV4AaABAg,"ive been a loyal samsung phone enthusiast. ive had every galaxy since the galaxy s1. i love this phone, however it will likely be my last samsung phone. red magic 11 pro just does the things samsung refuses to. in screen camera, higher pi, higher ram, rom, liquid cooling fan, updated design, bigger battery, updated charging, all for a cheaper price!",positive,Battery / Charging,S-Pen / Bluetooth Removal,6,Phone Buying and Value Seekers,0.5193802558802713,-0.25382666668118875
UgzLjuIjLfhWlA2V0Qx4AaABAg,samsung pleas make the samsung galaxy s26 ultra with a biggest battery last long tow days make the s26 ultra the best phone in 2026 better than iphone battery capasyti bigger than 5000 man,positive,Battery / Charging,Upgrade Cycle / Yearly Phone Changes,1,Galaxy Upgrade-Cycle Followers,0.4753885033338229,0.0031027008040273615
UgzTqMDliatmC0O6Q094AaABAg,"s24 is just better because of the bluetooth on s pen, it is more of gemini ad bro",positive,AI / Gemini,Galaxy Models / S23-S24-S25 Series,0,S-Pen Bluetooth Feature Loyalists,0.2710849444369506,0.04095994884909578
UgzuBL6C4fQQcCyq2_d4AaABAg,watching on same phone alhamdulillah,positive,Other,Fake Products / Screen / Camera Concerns,6,Phone Buying and Value Seekers,0.22611791461448477,-0.0432522140954359
Ugwi7iw-C1PF1Ok_Fbl4AaABAg,"hey, i just want to say you guys need to start looking into what you can do to steal all apple customers phones are pretty much rubbish now as an apple user i don t know what s making it so hard to switch top psychologist spend millions your time is now apple is going through the ground. the phone qualities is horrible. the software is going down the drain. it s your time to shine. even the glass is super weak. i broke it with a glass screen protector on the phones constantly crash",negative,Battery / Charging,General Samsung / Apple Discussion,7,Samsung-Apple Brand Debaters - Buying Decision / Value Discussion,0.4105996059505604,-0.2642162842953306
UgwHW-oRqO_zFY7NJ-J4AaABAg,i m thinking buying one because i need the powerful cup is it good?,positive,Battery / Charging,Upgrade Cycle / Yearly Phone Changes,2,General Mobile Discussion Audience,0.15369565153845538,-0.06814905482819943
UgxzatC2IWi_Ek4keMR4AaABAg,thai agora samsung iphone pile tiny phone hi batter had,neutral,AI / Gemini,S-Pen / Bluetooth Removal,5,iPhone Comparison Shoppers,0.43122353530159807,-0.35306917420651623
UgznaQUvMkOnKQkqq5p4AaABAg,the worst thing is that gemini is not available in my region,negative,AI / Gemini,"AI, Battery, Camera and Feature Discussion",2,General Mobile Discussion Audience,0.1944497519560896,-0.08186801881653065
UgznaQUvMkOnKQkqq5p4AaABAg.AOrFyMo9nEDAPHXvF-TphU,"fortunately, gemini is available to me. also, why doesn't your phone appear to have gemini functionality? were you previously located in an area where gemini was not offered?",neutral,AI / Gemini,"AI, Battery, Camera and Feature Discussion",6,Phone Buying and Value Seekers,0.2602011393332225,-0.15172644302761326
UgxddV-X1n8dKtDGn2F4AaABAg,please give us an ultra mini phone! in 2027 january. pretty pleaseeeeee!,positive,Price / Value,Upgrade Cycle / Yearly Phone Changes,6,Phone Buying and Value Seekers,0.5570001492303066,0.18976873237485217
UgzrII6btXP1DgzypWt4AaABAg,i am using s25 ultra and its really awesome phone. love it,positive,Positive Feedback,Fake Products / Screen / Camera Concerns,1,Galaxy Upgrade-Cycle Followers,0.42790149546366774,0.26497498224678045
Ugwd-M2G2qSGLPV_aAZ4AaABAg,vive t4 pro 25k mobile can easily beat the zoom capability of this phone!,positive,Camera,S-Pen / Bluetooth Removal,6,Phone Buying and Value Seekers,0.34310995545156003,-0.21850720519213898
UgxDWZtcvUmWy8plE3V4AaABAg,i have been using samsung just for s pen. 1st they removed s health from note9 onwards and now tweaking bluetooth of s pen... they have literally killed the note series... i think it's time to say goodbye to .,negative,S-Pen / Features,Galaxy Models / S23-S24-S25 Series,0,S-Pen Bluetooth Feature Loyalists,0.3556139713619442,-0.07273493219606936
Ugz5X_2W5w60pyio3RB4AaABAg,"so less features than s24 ultra and still no expandable memory storage, samsung pulling the apple scam now",negative,Other,Fake Products / Screen / Camera Concerns,1,Galaxy Upgrade-Cycle Followers,0.5055058259514134,0.21686975799816463
UgzZ9cMI6ouPzJr7fNt4AaABAg,android after five year iphone after five year,neutral,Software / One UI,Buying Decision / Value Discussion,5,iPhone Comparison Shoppers,0.18713144817453556,-0.10461704859742586
UgztkPsKNYD_mLmjN494AaABAg,i have a s25 ultra... totally worth itttt!!!!,positive,Price / Value,Fake Products / Screen / Camera Concerns,1,Galaxy Upgrade-Cycle Followers,0.4128369166837369,0.5567243944346804
Ugw-_bX_9x7a_xpHasV4AaABAg,i just got this phone and this phone's ai is way more useful than sir,positive,AI / Gemini,Upgrade Cycle / Yearly Phone Changes,6,Phone Buying and Value Seekers,0.35398845708723764,-0.20159707680819947
Ugz-yHg4cPGjDgz1vGJ4AaABAg,i need to the song's name,neutral,Other,"AI, Battery, Camera and Feature Discussion",2,General Mobile Discussion Audience,0.06769223294226626,-0.03631476230789275
UgxHaaQ4Vo3SaOrj4UF4AaABAg,under consideration any bundle offer like ear bud or microphone,positive,S-Pen / Features,Buying Decision / Value Discussion,2,General Mobile Discussion Audience,0.19012980829258186,-0.08752852771639262
UgzvD2hCs-oh5zznFZh4AaABAg.AO-FC2yFwppAPHY77OP6co,"however, the only issue with the phone is the bluetooth s pen, which will make it less convenient to use.",neutral,S-Pen / Features,Galaxy Models / S23-S24-S25 Series,0,S-Pen Bluetooth Feature Loyalists,0.3074448868223687,-0.10437924631365157
UgxE2CTky3WT-yClAo14AaABAg,"been using the s25 ultra for 8months now, its absolutely the best phone i've ever used.",positive,Positive Feedback,Fake Products / Screen / Camera Concerns,1,Galaxy Upgrade-Cycle Followers,0.4825213000085604,0.26292059475054197
UgxE2CTky3WT-yClAo14AaABAg.ANzvfpwc3PfAPHSc0eC3PD,what about the battery?,neutral,Battery / Charging,"AI, Battery, Camera and Feature Discussion",2,General Mobile Discussion Audience,0.07052995509948536,-0.019883767783354347
UgxE2CTky3WT-yClAo14AaABAg.ANzvfpwc3PfAPJHQBEP_pH,good. i sometimes go 48h on full charge,positive,Battery / Charging,"AI, Battery, Camera and Feature Discussion",2,General Mobile Discussion Audience,0.10491333525181105,-0.04680449096364854
UgxE2CTky3WT-yClAo14AaABAg.ANzvfpwc3PfAPJHWfvFmkU,", that's true. but its not a huge deal, cause the ai feature is amazing",positive,AI / Gemini,Galaxy Models / S23-S24-S25 Series,4,Galaxy AI Subscription Sceptics,0.2299586152638074,-0.07511653028380869
UgxE2CTky3WT-yClAo14AaABAg.ANzvfpwc3PfAVRvHhL7dtT,lasts for 3 days easy...,positive,Other,S-Pen / Bluetooth Removal,2,General Mobile Discussion Audience,0.3678187075041161,-0.11949324703384206
UgwKTKPsvt-zU1vBvIJ4AaABAg,i think samsung is better than apple now,positive,Design / Build,S-Pen / Bluetooth Removal,7,Samsung-Apple Brand Debaters - Buying Decision / Value Discussion,0.2912456457163633,-0.25687992297271245
UgyAg5xOvnpko-6DfF54AaABAg,samsung is now becoming lazy like iphone doesn't give screen replacement one who got green line due to software update,neutral,Display / Screen,General Samsung / Apple Discussion,5,iPhone Comparison Shoppers,0.3435611830406853,-0.15903481845204975
UgymRsh0vP9mZKvEist4AaABAg,watching it on my s25 ultra,positive,Other,Fake Products / Screen / Camera Concerns,1,Galaxy Upgrade-Cycle Followers,0.31472134816171393,0.4844574948343981
UgxfnXxUo2fY1Zpn54J4AaABAg,watching this introduction with my s25 ultra,neutral,Other,Fake Products / Screen / Camera Concerns,1,Galaxy Upgrade-Cycle Followers,0.36463989795123564,0.5295175048386477
UgwuNX4m8cXbZ-cqUZF4AaABAg,the most powerful phone this year,positive,Battery / Charging,Buying Decision / Value Discussion,6,Phone Buying and Value Seekers,0.24700180925691953,-0.15986589942911802
Ugz78p49IShRcwZDXXt4AaABAg,abba company useless mobile box nail charger koto yogthe ill first mobile box nail charger jodi illla mobile snake manufacturing madthira muchkond mane ali cirri,negative,Battery / Charging,S25 vs S24 / iPhone Pro Max Comparison,2,General Mobile Discussion Audience,0.13696153290109842,-0.12175773196426157
UgznzRTOBG3zRQMu6Kh4AaABAg,feels weird watching this phone launch in this phone only,negative,Price / Value,Buying Decision / Value Discussion,6,Phone Buying and Value Seekers,0.30711222401426425,-0.11474837266562177
Ugz98V8gIkYZg-Zc5GB4AaABAg,"i can assure you that samsung will lead phone market as of n ow due to trump obstacles created for worlds best brains will cause heavy for iphone, days are over for iphone now. more talent will move with samsung",positive,AI / Gemini,S-Pen / Bluetooth Removal,5,iPhone Comparison Shoppers,0.4320468653954831,-0.32074833178102297
UgzQf_0a8zGqWTxamW54AaABAg,samsung galaxy s25 ultra is soon much better than the apple iphone 17 pro max.,positive,Positive Feedback,S-Pen / Bluetooth Removal,5,iPhone Comparison Shoppers,0.39160505031871734,0.09485689265859529
UgwysSAk3nwez-QS4R94AaABAg,goat mobile i'm using it since 5 months it's an og mobile,neutral,Performance / Processor,S-Pen / Bluetooth Removal,2,General Mobile Discussion Audience,0.37991075708377703,-0.11070764953450067
UgzA9qbwVu0qdkZko-B4AaABAg,bring back curved edges,neutral,Design / Build,Galaxy Models / S23-S24-S25 Series,2,General Mobile Discussion Audience,0.17199911317448247,0.01633212900389806
UgxvxLLxkzPp-88i5L94AaABAg,samsung galaxy s25 ultra apple iphone 17 pro max over the horizon 2025 i love p.ฝ าย วรรณธ ดาพร ชาก น,positive,Positive Feedback,S-Pen / Bluetooth Removal,5,iPhone Comparison Shoppers,0.37868388084337357,0.11213899807875777
Ugys3sfTra_AAULVTLh4AaABAg,"i bought s25 ultra a few days ago and after a month its camera started fogging or moisture due to which i went to samsung service center 3 times but still my issue was not solved.and when i talked to their customer care they rudely said that there will be no exchange, no refund and nothing, we cannot do anything as the phone is worth rs 120,000 and is under warranty. then what is the benefit of buying such an expensive phone?",positive,Camera,S-Pen / Bluetooth Removal,6,Phone Buying and Value Seekers,0.6636870640317977,0.0888353569151315
UgxJVgRf5GxzexqTulV4AaABAg,exactly which delulu barbiland world is this,positive,Other,Buying Decision / Value Discussion,2,General Mobile Discussion Audience,0.2144293571839107,-0.13390180852896408
Ugxe-RFO8b1AIYcT6z14AaABAg,samsung please bring back those edged corners and bluetooth spen to s ultra or a separate note series with this feature,positive,S-Pen / Features,Galaxy Models / S23-S24-S25 Series,0,S-Pen Bluetooth Feature Loyalists,0.403325785462901,0.10757092639539349
UgwAParIJBT3ddsGVvp4AaABAg,"i brought my brand new s25 ultra on september 22, 2025.",neutral,Customer Support / Warranty,Fake Products / Screen / Camera Concerns,1,Galaxy Upgrade-Cycle Followers,0.40887450185740976,0.43716206939192814
UgwfjHJH6zYtrAOa3xh4AaABAg,you guys freaking removed the extra s pen features,negative,S-Pen / Features,Galaxy Models / S23-S24-S25 Series,0,S-Pen Bluetooth Feature Loyalists,0.21490522428061848,-0.03169384264892681
Ugzf2DY55X0KFc2jTFV4AaABAg,i deleted all the ai components i didnt ask for !!! also thank for the downgrade s pen,positive,AI / Gemini,Galaxy Models / S23-S24-S25 Series,4,Galaxy AI Subscription Sceptics,0.23169003163501695,-0.014035626574478979
Ugz63uc0HJiKfF1bZHt4AaABAg,"i recently bought one, and i'd say sometimes it gets rl hot in games and starts using more battery than usual but everything else is incredible",neutral,Battery / Charging,General Samsung / Apple Discussion,2,General Mobile Discussion Audience,0.24434628894617316,-0.050890314594076946
Ugyjui_-bc16rJTbIW94AaABAg,favorite ads this far,positive,Other,Buying Decision / Value Discussion,2,General Mobile Discussion Audience,0.3864662276421408,-0.11141240693527707
Ugxr1uBsCveqWKX3RDx4AaABAg,summarizing recorded calls can be useful.,positive,Price / Value,General Samsung / Apple Discussion,2,General Mobile Discussion Audience,0.24351978531827095,-0.16090752444035594
UgxRMg-6A4OvvnDFyTZ4AaABAg,"recently got the s25 ultra. i always bought the cheapest phone available but decided to get something pricey for once, and it's been one of the best choices i've ever made. insane photo quality and the display is crazy good. i legit feel as if i've been living in the past. big plus for me is the gaming. i can run games my previous phone couldn't run anymore. im loving this phone",positive,Camera,"AI, Battery, Camera and Feature Discussion",6,Phone Buying and Value Seekers,0.574474035998647,0.10019700007820136
UgzIfFSVsowUNa9U_fd4AaABAg,i m gonna buy a phone from samsung from now on because i m sick and tired of apple and there stuff and i m done with apple i gonna love samsung,negative,Positive Feedback,Buying Decision / Value Discussion,7,Samsung-Apple Brand Debaters - Buying Decision / Value Discussion,0.40523739469464093,-0.3373934876050707
Ugw_0hrUCuM69lbzl8V4AaABAg,totally waste of money even this device have green line issue,negative,Display / Screen,General Samsung / Apple Discussion,2,General Mobile Discussion Audience,0.17442118745495652,-0.049495619839759135
UgwKP0k5htztkgjCyLR4AaABAg,3.25 this is the thinnest ultra ever?,neutral,Design / Build,Upgrade Cycle / Yearly Phone Changes,1,Galaxy Upgrade-Cycle Followers,0.4252444970719886,0.5575453810416563
UgwO3h4mf0zvJz-zTRp4AaABAg,i d rather have a samsung than an iphone because samsung are way better than phones the same thing they decided after the 15 and 16 just to make new icons yeah no i m going to samsung and the new samsung s 25 already has snap dragon on it so no,neutral,Design / Build,S-Pen / Bluetooth Removal,3,Samsung-Apple Brand Debaters - Buying Decision / Value Discussion,0.4865127270078769,-0.27637718026385777
UgxZZ8Beh12MyJV8Tkh4AaABAg,the galaxy s23 ultra s square sharp corners and curved display give it a truly premium identity. i strongly hope samsung continues this elegant design language in future flagship models.,positive,Display / Screen,Fake Products / Screen / Camera Concerns,1,Galaxy Upgrade-Cycle Followers,0.40416161949922236,0.1762953030364464
UgyZBLMOn6XmYs2lb6N4AaABAg,"s23 ultra is the most beautiful phone ever we love the square corners and curved display. please samsung, keep this legendary design for the next flagships!",positive,Display / Screen,Fake Products / Screen / Camera Concerns,1,Galaxy Upgrade-Cycle Followers,0.4186006732137224,0.08940930963626041
UgxCN7_eHpPtUEOpaRl4AaABAg,samsung m 15 5g screen record nazi had,neutral,Display / Screen,S-Pen / Bluetooth Removal,3,Samsung-Apple Brand Debaters - Buying Decision / Value Discussion,0.3116408089721644,-0.17141313038460304
UgzaOS4kr6TaqjYONS94AaABAg,"s25 user here. man... what a, phone? it's more like a super computer you can fit into a man's pocket. it can emulate anything you could think of, and if its newer you can stream or cloud play basicly 80 of mainstream games. i don't know about anyone else but my ok google detention is beyond real. battery? lol i forget to charge until i have to. 1.8 days and 55 minutes to charge. i am a power user, i have a video background, i play games! nu? ooooo does it do work.",positive,Battery / Charging,General Samsung / Apple Discussion,2,General Mobile Discussion Audience,0.37976622414735034,-0.11957070466529689
